car name,brand
AYLA X 1.2,Daihatsu
AGYA TRD SPORTIVO 1.0,Toyota
X-TRAIL 2.5,Nissan
YARIS S TRD 1.5,Toyota
AGYA G 1.2,Toyota
AVANZA G 1.3,Toyota
AVANZA G 1.5,Toyota
OUTLANDER SPORT PX 2.0,Mitsubishi
BRIO SATYA E 1.2,Honda
HR-V S 1.5,Honda
AGYA G TRD 1.2,Toyota
AYLA R 1.2,Daihatsu
AYLA R DLX 1.2,Daihatsu
ALMAZ LT LUX 1.5,Wuling
TERIOS TX 1.5,Daihatsu
MOBILIO E 1.5,Honda
ERTIGA GL 1.5,Suzuki
CR-V TURBO 1.5,Honda
CONFERO 2WD 1.5,Wuling
LIVINA VL 1.5,Nissan
CALYA G 1.2,Toyota
TERIOS R 1.5,Daihatsu
XPANDER ULTIMATE 1.5,Mitsubishi
AYLA X 1.0,Daihatsu
HR-V E 1.5,Honda
OUTLANDER SPORT GLS 2.0,Mitsubishi
HR-V SE 1.5,Honda
ALMAZ S+T 1.5,Wuling
IGNIS GL 1.2,Suzuki
KIJANG INNOVA REBORN G 2.0,Toyota
MOBILIO RS 1.5,Honda
KIJANG INNOVA V 2.0,Toyota
KIJANG INNOVA G 2.0,Toyota
AGYA GR SPORT 1.2,Toyota
TERIOS X DLX 1.5,Daihatsu
BRIO RS 1.2,Honda
FORTUNER VRZ 2.4,Toyota
CX-5 ELITE 2.5,Mazda
GRAND LIVINA XV 1.5,Nissan
AGYA G 1.0,Toyota
IGNIS GX 1.2,Suzuki
CORTEZ C T LUX 1.5,Wuling
ALMAZ RS LT LUX + SC CVT 1.5,Wuling
CONFERO S 1.5,Wuling
ALMAZ L TURBO 1.5,Wuling
KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota
BALENO HATCHBACK 1.4,Suzuki
TERIOS X 1.5,Daihatsu
ALMAZ LT LUX + SC CVT 1.5,Wuling
CITY RS HATCHBACK 1.5,Honda
AYLA X ELEGANT 1.0,Daihatsu
AVANZA E 1.3,Toyota
RUSH S TRD SPORTIVO 1.5,Toyota
XENIA R STD 1.3,Daihatsu
CORTEZ S T LUX 1.5,Wuling
CORTEZ L T LUX 1.5,Wuling
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi
XL7 ALPHA 1.5,Suzuki
YARIS G 1.5,Toyota
RUSH S 1.5,Toyota
XENIA X 1.3,Daihatsu
RUSH S GR SPORT 1.5,Toyota
CR-V 2.0,Honda
ROCKY R 1.0,Daihatsu
ERTIGA GL 1.4,Suzuki
KIJANG INNOVA REBORN V 2.0,Toyota
ALMAZ LT LUX CVT 1.5,Wuling
CORTEZ T LUX 1.5,Wuling
XPANDER EXCEED 1.5,Mitsubishi
AGYA G TRD 1.0,Toyota
ECLIPSE CROSS ULTIMATE 1.5,Mitsubishi
RUSH S TRD 1.5,Toyota
HR-V E PLUS 1.5,Honda
2 GT SKYACTIV 1.5,Mazda
X-TRAIL 2.0,Nissan
ERTIGA GX 1.4,Suzuki
SIENTA Q 1.5,Toyota
CONFERO S L LUX 1.5,Wuling
SX4 S-CROSS 1.5,Suzuki
ERTIGA SPORT GT 1.5,Suzuki
SIGRA R DLX 1.2,Daihatsu
SIGRA D 1.0,Daihatsu
2 R SKYACTIV 1.5,Mazda
XPANDER SPORT 1.5,Mitsubishi
BR-V E 1.5,Honda
CITY E 1.5,Honda
TERIOS R DLX 1.5,Daihatsu
XENIA R DLX 1.3,Daihatsu
BR-V E PRESTIGE 1.5,Honda
KIJANG INNOVA G LUX 2.0,Toyota
SIGRA R STD 1.2,Daihatsu
RUSH G 1.5,Toyota
GO+ PANCA T 1.2,Datsun
XENIA X STD 1.3,Daihatsu
RAIZE TURBO G 1.0,Toyota
KIJANG INNOVA Q 2.0,Toyota
AVANZA VELOZ 1.3,Toyota
CX-3 GT 2.0,Mazda
BRIO E 1.2,Honda
PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,Mitsubishi
